Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2$482144,6.0$374297,,
Lithuania,,,,,,,,,,22.6$1400000,19.7$1270000,29.4$1267000,27.9$1500000,0.0$1900000,18.1$2100000,19.6$2400000,15.0$2500000,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,23.8$2200000,25.5$2640000,32.0$3080000,27.0$9000000,25.6$9818481,21.3$11250000,,0.0$3000000,15.5$6850000,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,0.0$720000,29.0$828000,0.0$9000000,25.7$10130000,,21.4$11250000,30.0$12375000,31.3$13500000,33.5$14625000,29.3$8740000,27.3$9442697,30.4$10142156,27.2$10841615,20.9$11541074,15.9$1352181,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,13.4$366931,20.6$1600000,21.4$2200000,18.9$3650000,19.4$3942000,19.8$4235000,18.8$4526000,7.1$4818000,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,7.1$2500000,0.0$500000,0.0$500000,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,8.5$879360,18.8$945360,23.9$1011360,22.2$1824493,,26.5$4995000,21.6$4605000,18.8$4600000,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,1.5$398762,0.0$664209,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,20.8$4000000,15.4$4000000,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2$1453520,15.4$1422720,28.7$1483920,14.8$2288205,14.1$576724,,4.3$59820,,,,
