Name,Country,Start,Seasons,Minutes,Salary,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
İbrahim Kutluay,Turkey,2004,2,2.4,3360000,,,,,,,,,,,,,,,,,,,,,,,,,2.4$1600000,0.0$1760000,,,,,,,,,,,,,,,,,
Luol Deng,England,2004,18,32,168461551,,,,,,,,,,,,,,,,,,,,,,,,,27.3$2273400,33.4$2443920,37.5$2614440,33.8$3320339,34.0$9385000,37.9$10370425,39.1$11345000,39.4$12325000,38.7$13305000,35.1$14275000,33.6$9714461,32.4$10151612,26.5$18000000,13.0$17190000,17.8$16747954,0.0$5000000,0.0$5000000,0.0$5000000,
Mario Kasun,Croatia,2004,3,7.8,1986878,,,,,,,,,,,,,,,,,,,,,,,,,7.9$385277,7.6$682050,0.0$919551,,,,,,,,,,,,,,,,
Nenad Krstić,Serbia,2004,7,25.4,20641424,,,,,,,,,,,,,,,,,,,,,,,,,26.2$939480,30.9$1010040,32.6$1080480,18.0$1889760,24.8$4778548,22.9$5400000,22.1$5543116,,,,,,,,,,,,
Pavel Podkolzin,Russia,2004,3,10,2803440,,,,,,,,,,,,,,,,,,,,,,,,,2.0$1061880,18.0$1141560,0.0$600000,,,,,,,,,,,,,,,,
Sasha Vujačić,Slovenia,2004,10,13.9,22254895,,,,,,,,,,,,,,,,,,,,,,,,,11.5$846840,17.7$910440,12.8$973920,17.8$1756951,16.2$4524887,8.6$5000000,24.6$5475113,,,5.0$0,,14.9$1356146,9.7$1410598,,,,,,
Viktor Khryapa,Russia,2004,4,14.2,5216358,,,,,,,,,,,,,,,,,,,,,,,,,16.3$1019400,21.6$1095960,7.0$1172400,11.7$1928598,,,,,,,,,,,,,,,
Arvydas Macijauskas,Lithuania,2005,3,7.1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,7.1$2500000,0.0$500000,0.0$500000,,,,,,,,,,,,,,,
Ersan İlyasova,Turkey,2005,15,23.3,68722811,,,,,,,,,,,,,,,,,,,,,,,,,,0.0$398762,14.7$664209,,,23.4$2100000,25.1$2320500,27.6$2541000,27.6$7900000,26.9$7900000,22.7$7900000,25.4$7900000,26.1$8400000,24.3$5791736,25.1$7000000,18.4$7000000,15.7$754783,0.0$151821,
Johan Petro,France,2005,8,14.7,15845294,,,,,,,,,,,,,,,,,,,,,,,,,,18.9$936600,18.6$1006800,18.2$1077120,11.4$1939893,12.1$884881,11.6$3250000,15.6$3250000,11.4$3500000,,,,,,,,,,
José Calderón,Spain,2005,14,25.8,85737295,,,,,,,,,,,,,,,,,,,,,,,,,,23.2$2190000,21.0$2333334,30.3$2471604,34.3$7438018,26.7$8219009,30.9$9000000,33.9$9780992,29.6$11046591,30.5$6791570,30.2$7097191,28.1$7402812,13.1$8100905,16.0$1471382,12.9$2393887,,,,
Linas Kleiza,Lithuania,2005,7,20,18860573,,,,,,,,,,,,,,,,,,,,,,,,,,8.5$879360,18.8$945360,23.9$1011360,22.2$1824493,,26.5$4995000,21.6$4605000,18.8$4600000,,,,,,,,,,
Martynas Andriuškevičius,Lithuania,2005,2,1.5,1062971,,,,,,,,,,,,,,,,,,,,,,,,,,1.5$398762,0.0$664209,,,,,,,,,,,,,,,,
Melvin Sanders,Georgia,2005,1,7.1,24315,,,,,,,,,,,,,,,,,,,,,,,,,,7.1$24315,,,,,,,,,,,,,,,,,
Ronny Turiaf,France,2005,10,15.7,22581156,,,,,,,,,,,,,,,,,,,,,,,,,,7.0$0,15.1$664209,18.7$770610,21.5$4500000,20.8$4140000,17.8$4000000,16.4$4360000,10.8$1146337,19.5$1500000,9.5$1500000,,,,,,,,
Šarūnas Jasikevičius,Lithuania,2005,2,18.1,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,20.8$4000000,15.4$4000000,,,,,,,,,,,,,,,,
Sergei Monia,Russia,2005,2,13.2,1116400,,,,,,,,,,,,,,,,,,,,,,,,,,13.2$1016400,0.0$100000,,,,,,,,,,,,,,,,
Travis Diener,Italy,2005,5,12.2,5922971,,,,,,,,,,,,,,,,,,,,,,,,,,10.7$398762,11.1$664209,20.5$1500000,13.1$1620000,5.7$1740000,,,,,,,,,,,,,
Yaroslav Korolev,Russia,2005,2,4.7,3536760,,,,,,,,,,,,,,,,,,,,,,,,,,5.3$1704480,4.1$1832280,,,,,,,,,,,,,,,,
